epoch,step,train_loss_epoch,train_loss_step,train_renyi_lb_epoch,train_renyi_lb_step
27,279,,-0.9662179946899414,,0.9662179946899414
27,279,-0.9721398949623108,,0.9721398949623108,
28,289,,-1.0152735710144043,,1.0152735710144043
28,289,-0.9963735938072205,,0.9963735938072205,
29,299,,-1.04742431640625,,1.04742431640625
29,299,-1.0205574035644531,,1.0205574035644531,
30,309,,-1.0721235275268555,,1.0721235275268555
30,309,-1.044377088546753,,1.044377088546753,
31,319,,-1.0682587623596191,,1.0682587623596191
31,319,-1.0682910680770874,,1.0682910680770874,
32,329,,-1.1070146560668945,,1.1070146560668945
32,329,-1.0921934843063354,,1.0921934843063354,
33,339,,-1.115938663482666,,1.115938663482666
33,339,-1.1159297227859497,,1.1159297227859497,
34,349,,-1.160346508026123,,1.160346508026123
34,349,-1.1392972469329834,,1.1392972469329834,
35,359,,-1.1671028137207031,,1.1671028137207031
35,359,-1.1625862121582031,,1.1625862121582031,
36,369,,-1.2085785865783691,,1.2085785865783691
36,369,-1.1859872341156006,,1.1859872341156006,
37,379,,-1.1996917724609375,,1.1996917724609375
37,379,-1.2098954916000366,,1.2098954916000366,
38,389,,-1.2348418235778809,,1.2348418235778809
38,389,-1.2350273132324219,,1.2350273132324219,
39,399,,-1.2728943824768066,,1.2728943824768066
39,399,-1.2588281631469727,,1.2588281631469727,
40,409,,-1.2871294021606445,,1.2871294021606445
40,409,-1.282127857208252,,1.282127857208252,
41,419,,-1.305130958557129,,1.305130958557129
41,419,-1.3057408332824707,,1.3057408332824707,
42,429,,-1.320986270904541,,1.320986270904541
42,429,-1.3281362056732178,,1.3281362056732178,
43,439,,-1.370478630065918,,1.370478630065918
43,439,-1.3504291772842407,,1.3504291772842407,
44,449,,-1.3941755294799805,,1.3941755294799805
44,449,-1.372522234916687,,1.372522234916687,
45,459,,-1.4131379127502441,,1.4131379127502441
45,459,-1.3945518732070923,,1.3945518732070923,
46,469,,-1.4354028701782227,,1.4354028701782227
46,469,-1.4164799451828003,,1.4164799451828003,
47,479,,-1.4405159950256348,,1.4405159950256348
47,479,-1.4382864236831665,,1.4382864236831665,
48,489,,-1.434403419494629,,1.434403419494629
48,489,-1.4603967666625977,,1.4603967666625977,
49,499,,-1.4616079330444336,,1.4616079330444336
49,499,-1.4820291996002197,,1.4820291996002197,
50,509,,-1.5119481086730957,,1.5119481086730957
50,509,-1.5035314559936523,,1.5035314559936523,
51,519,,-1.5325117111206055,,1.5325117111206055
51,519,-1.5248003005981445,,1.5248003005981445,
52,529,,-1.5676360130310059,,1.5676360130310059
52,529,-1.5462815761566162,,1.5462815761566162,
53,539,,-1.5403165817260742,,1.5403165817260742
53,539,-1.5674502849578857,,1.5674502849578857,
54,549,,-1.5707645416259766,,1.5707645416259766
54,549,-1.5887048244476318,,1.5887048244476318,
55,559,,-1.6075735092163086,,1.6075735092163086
55,559,-1.609728455543518,,1.609728455543518,
56,569,,-1.6495695114135742,,1.6495695114135742
56,569,-1.6309540271759033,,1.6309540271759033,
57,579,,-1.6682167053222656,,1.6682167053222656
57,579,-1.6517895460128784,,1.6517895460128784,
58,589,,-1.708371639251709,,1.708371639251709
58,589,-1.6726914644241333,,1.6726914644241333,
59,599,,-1.687448501586914,,1.687448501586914
59,599,-1.6934267282485962,,1.6934267282485962,
60,609,,-1.6891679763793945,,1.6891679763793945
60,609,-1.7140284776687622,,1.7140284776687622,
61,619,,-1.7406620979309082,,1.7406620979309082
61,619,-1.7350106239318848,,1.7350106239318848,
62,629,,-1.78153657913208,,1.78153657913208
62,629,-1.75632905960083,,1.75632905960083,
63,639,,-1.760972023010254,,1.760972023010254
